,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
RM, 13 , 109 , 82 , 65 , 366 , 102 , 138 , 149 , 180 , 38 , 85 , 57 , 34 , 19 , 35 , 19 , 14 , 29 , 20 , 15 , 19 , 6 , 6 , 21 , 20 , 398 , 390 , 424 , 340 , 172 , 175 , 52 , 66 , 64 , 14 , 5 , 16 , 2 , 35 , 12 , 19 , 59 , 27 , 8 , 12 , 7 ," 3,935 ",,,,,,,,,,,,,
EN, 132 , 20 , 91 , 96 , 826 , 139 , 262 , 471 , 562 , 94 , 100 , 109 , 56 , 44 , 73 , 22 , 38 , 55 , 27 , 18 , 31 , 8 , 10 , 31 , 35 , 953 ," 1,067 ", 884 , 800 , 265 , 205 , 81 , 100 , 114 , 29 , 7 , 27 , 6 , 27 , 34 , 43 , 114 , 71 , 13 , 31 , 26 ," 8,247 ",,,,,,,,,,,,,
EP, 86 , 81 , 13 , 47 , 659 , 83 , 134 , 298 , 336 , 56 , 49 , 37 , 29 , 14 , 25 , 6 , 14 , 37 , 18 , 17 , 25 , 8 , 6 , 31 , 13 , 562 , 686 , 396 , 431 , 126 , 74 , 33 , 35 , 41 , 4 , 4 , 15 , 4 , 11 , 10 , 11 , 60 , 32 , 7 , 25 , 11 ," 4,702 ",,,,,,,,,,,,,
NB, 72 , 87 , 51 , 16 , 200 , 61 , 91 , 285 , 249 , 46 , 59 , 38 , 30 , 17 , 30 , 9 , 19 , 33 , 19 , 23 , 28 , 8 , 9 , 17 , 12 , 644 , 744 , 411 , 485 , 157 , 99 , 35 , 29 , 34 , 7 , 7 , 14 , 3 , 16 , 8 , 10 , 91 , 36 , 8 , 31 , 17 ," 4,396 ",,,,,,,,,,,,,
BK, 406 , 897 , 668 , 208 , 36 , 361 , 362 , 562 , 528 , 227 , 255 , 143 , 181 , 140 , 132 , 73 , 140 , 188 , 120 , 158 , 122 , 63 , 48 , 42 , 75 , 886 , 932 , 671 , 689 , 302 , 231 , 125 , 103 , 104 , 31 , 48 , 110 , 49 , 113 , 34 , 39 , 180 , 139 , 49 , 74 , 78 ," 11,123 ",,,,,,,,,,,,,
AS, 105 , 128 , 83 , 61 , 329 , 15 , 83 , 264 , 252 , 58 , 96 , 63 , 49 , 32 , 32 , 19 , 30 , 34 , 23 , 28 , 23 , 8 , 6 , 13 , 29 , 699 , 799 , 450 , 539 , 230 , 133 , 31 , 41 , 38 , 9 , 8 , 22 , 7 , 28 , 13 , 14 , 64 , 42 , 10 , 23 , 22 ," 5,086 ",,,,,,,,,,,,,
MA, 154 , 268 , 121 , 87 , 351 , 84 , 42 , 196 , 228 , 57 , 153 , 127 , 130 , 96 , 113 , 58 , 75 , 103 , 164 , 178 , 156 , 45 , 43 , 57 , 49 ," 1,045 "," 1,234 ", 790 , 886 , 390 , 222 , 71 , 83 , 79 , 22 , 19 , 69 , 63 , 260 , 31 , 31 , 109 , 68 , 27 , 27 , 34 ," 8,692 ",,,,,,,,,,,,,
19, 163 , 478 , 302 , 291 , 513 , 262 , 190 , 30 , 59 , 43 , 170 , 139 , 222 , 209 , 198 , 149 , 215 , 316 , 322 , 390 , 340 , 144 , 115 , 178 , 61 ," 1,352 "," 1,549 ", 898 ," 1,026 ", 429 , 322 , 173 , 129 , 143 , 70 , 65 , 235 , 173 , 281 , 69 , 72 , 89 , 135 , 106 , 35 , 110 ," 12,962 ",,,,,,,,,,,,,
12, 203 , 584 , 324 , 253 , 454 , 240 , 224 , 56 , 37 , 41 , 204 , 259 , 336 , 301 , 271 , 175 , 214 , 271 , 330 , 407 , 297 , 135 , 119 , 161 , 95 ," 1,256 "," 1,308 ", 917 , 953 , 335 , 306 , 177 , 178 , 190 , 133 , 115 , 241 , 174 , 343 , 89 , 84 , 125 , 157 , 123 , 45 , 88 ," 13,331 ",,,,,,,,,,,,,
LM, 36 , 84 , 60 , 45 , 213 , 62 , 58 , 44 , 42 , 17 , 149 , 199 , 267 , 237 , 151 , 81 , 115 , 114 , 34 , 25 , 24 , 6 , 8 , 25 , 35 , 840 ," 1,005 ", 697 , 625 , 234 , 152 , 59 , 87 , 86 , 7 , 103 , 164 , 11 , 53 , 12 , 15 , 37 , 19 , 77 , 19 , 92 ," 6,524 ",,,,,,,,,,,,,
